Country,FechasF,AD,Months,Days
 Jordan,1946-05-25,2022-05-31,912,27765
 Kazakhstan,1991-12-16,2022-05-31,365,11124
 Kenya,1963-12-12,2022-05-31,701,21355
 Kiribati,1979-07-12,2022-05-31,514,15664
 North Korea,1948-08-15,2022-05-31,885,26952
 South Korea,1919-03-01,2022-05-31,1238,37712
 South Korea,1948-08-15,2022-05-31,885,26952
 Kuwait,1961-02-25,2022-05-31,735,22375
 Kyrgyzstan,1991-08-31,2022-05-31,369,11231
 Laos,1975-12-02,2022-05-31,557,16982
 Latvia,1918-11-18,2022-05-31,1242,37815
 Latvia,1990-05-04,2022-05-31,384,11715
 Lebanon,1943-11-22,2022-05-31,942,28680
 Lesotho,1966-10-04,2022-05-31,667,20328
 Liberia,1847-07-26,2022-05-31,2098,63862
 Libya,1951-12-24,2022-05-31,845,25726
 Liechtenstein,1886-08-15,2022-05-31,1629,49597
 Lithuania,1918-02-16,2022-05-31,1251,38090
 Lithuania,1990-03-11,2022-05-31,386,11769
 Madagascar,1960-06-26,2022-05-31,743,22619
 Malawi,1964-07-06,2022-05-31,694,21148
 Malaysia,1957-08-31,2022-05-31,777,23649
 Maldives,1965-07-26,2022-05-31,682,20763
 Mali,1960-09-22,2022-05-31,740,22531
 Malta,1964-09-21,2022-05-31,692,21071
 Marshall Islands,1979-05-01,2022-05-31,516,15736
 Mauritania,1960-11-28,2022-05-31,738,22464
 Mauritius,1968-03-12,2022-05-31,650,19803
 Mexico,1810-09-16,2022-05-31,2540,77324
 Micronesia,1986-11-03,2022-05-31,426,12993
 Moldova,1991-08-27,2022-05-31,369,11235
 Mongolia,1911-12-29,2022-05-31,1325,40331
 Montenegro,2006-05-21,2022-05-31,192,5854
 Morocco,1944-01-11,2022-05-31,940,28630
 Morocco,1955-11-18,2022-05-31,798,24301
 Mozambique,1975-06-25,2022-05-31,563,17142
 Myanmar,1948-01-04,2022-05-31,892,27176
 Namibia,1990-03-21,2022-05-31,386,11759
 Nauru,1968-01-31,2022-05-31,652,19844
 Netherlands,1581-07-26,2022-05-31,5290,161016
 Nicaragua,1821-09-15,2022-05-31,2408,73307
 Niger,1960-08-03,2022-05-31,741,22581
 Nigeria,1960-10-01,2022-05-31,739,22522
 North Macedonia,1991-09-08,2022-05-31,368,11223
 Norway,1814-05-17,2022-05-31,2496,75985
 Norway,1905-06-07,2022-05-31,1403,42727
 Oman,1650-11-18,2022-05-31,4458,135699
 Pakistan,1947-08-14,2022-05-31,897,27319
 Palestine,1988-11-15,2022-05-31,402,12250
 Panama,1821-11-28,2022-05-31,2406,73233
 Panama,1903-11-03,2022-05-31,1422,43309
 Papua New Guinea,1975-09-16,2022-05-31,560,17059
 Peru,1821-07-28,2022-05-31,2410,73356
 Philippines,1898-06-12,2022-05-31,1487,45278
 Philippines,1946-07-04,2022-05-31,910,27725
 Poland,1918-11-11,2022-05-31,1242,37822
 Portugal,1640-12-01,2022-05-31,4577,139338
 Qatar,1878-12-18,2022-05-31,1721,52394
 Qatar,1971-12-18,2022-05-31,605,18427
 Queensland,1859-12-10,2022-05-31,1949,59342
 Romania,1877-05-09,2022-05-31,1740,52982
 Russia,1992-06-12,2022-05-31,359,10945
 Rwanda,1962-07-01,2022-05-31,718,21884
 Saint Kitts and Nevis,1983-09-19,2022-05-31,464,14134
 Saint Lucia,1979-02-22,2022-05-31,519,15804
 Saint Vincent and the Grenadines,1979-10-27,2022-05-31,511,15557
 Samoa,1962-06-01,2022-05-31,719,21914
 São Tomé and Príncipe,1975-07-12,2022-05-31,562,17125
 Saudi Arabia,1932-09-23,2022-05-31,1076,32757
 Senegal,1960-04-04,2022-05-31,745,22702
 Serbia,1804-02-15,2022-05-31,2619,79729
 Seychelles,1976-06-29,2022-05-31,551,16772
 Sierra Leone,1961-04-27,2022-05-31,733,22314
 Singapore,1965-08-09,2022-05-31,681,20749
 Slovakia,1992-07-17,2022-05-31,358,10910
 Solomon Islands,1978-07-07,2022-05-31,526,16034
 Somalia,1960-07-01,2022-05-31,742,22614
 Somaliland,1991-05-18,2022-05-31,372,11336
 South Africa,1931-12-11,2022-05-31,1085,33044
 South Sudan,2011-07-09,2022-05-31,130,3979
 Spain,1492-10-12,2022-05-31,6355,193444
 Sri Lanka,1948-02-04,2022-05-31,891,27145
 Sudan,1956-01-01,2022-05-31,796,24257
 Suriname,1975-11-25,2022-05-31,558,16989
 Sweden,1905-06-06,2022-05-31,1403,42728
  Switzerland,1291-08-01,2022-05-31,8769,266930
 Syria,1946-04-17,2022-05-31,913,27803
 Tajikistan,1991-09-09,2022-05-31,368,11222
 Tanzania,1961-12-09,2022-05-31,725,22088
 Togo,1960-04-27,2022-05-31,745,22679
 Tonga,1970-06-04,2022-05-31,623,18989
 Trinidad and Tobago,1962-08-31,2022-05-31,717,21823
 Tunisia,1956-03-20,2022-05-31,794,24178
 Turkey,1923-10-29,2022-05-31,1183,36009
 Turkmenistan,1991-09-27,2022-05-31,368,11204
 Tuvalu,1978-10-01,2022-05-31,523,15948
 Uganda,1962-10-09,2022-05-31,715,21784
 Ukraine,1991-08-24,2022-05-31,369,11238
 Ukraine,1919-01-22,2022-05-31,1240,37750
 United Arab Emirates,1971-12-02,2022-05-31,605,18443
 United States,1776-07-04,2022-05-31,2950,89815
 Uruguay,1825-08-25,2022-05-31,2361,71867
 Uzbekistan,1991-09-01,2022-05-31,368,11230
 Vanuatu,1980-07-30,2022-05-31,502,15280
  Vatican City,1929-02-11,2022-05-31,1119,34077
 Venezuela,1811-07-05,2022-05-31,2530,77032
 Vietnam,1945-09-02,2022-05-31,920,28030
 Yemen,1967-11-30,2022-05-31,654,19906
 Zambia,1964-10-24,2022-05-31,691,21038
 Zimbabwe,1980-04-18,2022-05-31,505,15383
